last_work_place;count
"Санкт-Петербургское государственное бюджетное учреждение ""Центр мониторинга и экспертизы цен"" (Комитет по государственному заказу Санкт-Петербурга)";1
Строительный холдинг;1
Консультирование и Операции на ММВБ;1
АУ ЮНИИ ИТ;1
24ttl;1
Юго-западный государственный университет;1
SAS Institute;1
ИП Ефименко С.Н.;1
Черкизово, Группа;1
ООО Механизатор М;1
GOODNIGHT games;1
ТОО ATM GROUP KAZAKHSTAN;1
МодульКасса, аффилированная компания МодульБанка;1
ГК Ростех (структурное подразделение);1
ГБУЗ «Вороновская больница ДЗМ»;1
Российский аукционный дом;1
"АО ""МОЭСК Инжиниринг""";1
MediaCube.Network;1
ООО МСК;1
ТЯЖМЕХПРЕСС, ОАО;1
Zorka.Mobi;1
Работаю на заказ;1
BIOCAD, ЗАО БИОКАД;1
"ООО ""СТРОЙОСНАСТКА""";1
hightech start-ups;1
«Макрорегион Западная Сибирь» ООО ИК «СИБИНТЕК»;1
"ТК ""Центр"", АО";1
Грузоперевозки Алматы ;1
Яндекс Практикум;1
Salzgitter AG;1
"ООО ""Экология-Новосибирск""";1
ProGis;1
ООО Юсен Лоджистикс РУС;1
"ООО ""ФОТО-СПЕКТР-М""";1
s7 Travel Retail;1
ТОО Business and Technology Services;1
"ООО ""СевЗапФинанс""";1
"ФНБ АО «Самрук-Казына""";1
КИП-Сервис;1
ИФНС России 23 по г.Москве;1
"НОЧУ ДПО ""Институт практической психологии и психоанализа""";1
Mathematics and English tutor;1
Tarvenn Ventures and Advisors;1
KT Cloud Lab;1
Центр обработки информации;1
Eventum Premo;1
O2Consulting;1
ООО «Автомир-1» (АЗС «ОПТИ»);1
 Educational Center of HTP;1
Такси ГОСТ;1
ТОО «АДМ Компани»;1
Российско-иракская комплексная экспедиция;1
Сеть ресторанов ;1
"ПАО ""Ак Барс "" Банк";1
Газпром трансгаз Самара, ООО;1
"ИП Халикова Р.М. ""Строительный Бум""";1
ФГБУ Агроэкспорт;1
Срочный трудовой договор (частичная занятость);1
Citibank Kazakhstan ;1
ТРАСТ, Национальный банк;1
BCS Global Markets;1
Разные;1
